GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab-parser,default,ComposedTag,0,116,0,10,0,21,0,10,0,5
lab-parser,default,Img,0,26,0,0,0,8,0,4,0,4
lab-parser,default,Head,0,5,0,0,0,2,0,2,0,2
lab-parser,default,RegExTokenFactory,0,49,0,4,0,11,0,8,0,6
lab-parser,default,IdentifierTokenFactory,0,11,0,0,0,3,0,2,0,2
lab-parser,default,StringTokenFactory,0,36,0,0,0,11,0,6,0,6
lab-parser,default,Html,0,5,0,0,0,2,0,2,0,2
lab-parser,default,Token,0,15,0,0,0,6,0,3,0,3
lab-parser,default,LexicalAnalyzer,2,154,2,10,1,27,2,10,0,6
lab-parser,default,Div,0,5,0,0,0,2,0,2,0,2
lab-parser,default,P,0,5,0,0,0,2,0,2,0,2
lab-parser,default,HtmlParser,0,247,0,30,0,63,0,22,0,7
lab-parser,default,Type,0,34,0,0,0,2,0,1,0,1
lab-parser,default,TokenType,0,78,0,0,0,10,0,2,0,2
lab-parser,default,Header,0,5,0,0,0,2,0,2,0,2
lab-parser,default,Content,0,11,0,0,0,5,0,3,0,3
lab-parser,default,TokenFactory,2,3,0,0,1,1,1,1,1,1
lab-parser,default,OperatorTokenFactory,0,15,0,0,0,4,0,2,0,2
lab-parser,default,Main,127,0,6,0,40,0,6,0,3,0
lab-parser,default,Body,0,5,0,0,0,2,0,2,0,2
